assessment,mean_score,max_score,difficulty_index,difficulty_category,std_dev
assignment_1,62.1638,99.3,62.60201409869084,Medium,19.365427505540946
midterm_score,63.14345,99.73,63.314398876967815,Medium,21.403342119090517
assignment_2,63.62575,99.78,63.76603527761075,Medium,20.388284433670265
assignment_3,66.45560000000002,99.86,66.54876827558583,Medium,20.657214190946785
quiz_3,69.71925,99.8,69.85896793587175,Medium,17.479748826360844
quiz_1,69.97485,99.83,70.09400981668837,Easy,18.084788799071866
quiz_2,70.36274999999999,99.96,70.39090636254501,Easy,17.080861132349654
